Y	X	Z
1196	-176	2212.75
1221.75	-489.27	2183.25
1212	-478	2162.25
1227.74	-234.37	2236
1218	-518	2177.25
1348.16	-280.58	2229.5
1174.21	-507.5	2183.25
1587.97	-473.71	2146.5
1209.28	-488.23	2166
1637.4	-373.4	2170.5
1222	-498	2156.75
1169.55	-193.64	2174
1212	-396	2196.25
1226	-426	2166.75
1178	-188	2174.25
1186	-496.14	2202
1217.5	-498.49	2177.25
1230.96	-511.71	2154
1192.79	-571.47	2182.25
1236.12	-165.74	2104
1178	-406	2170.75
1093.57	-679.25	2152
1101.44	-709.98	2132
1063.54	-701.81	2168
1124.14	-707.03	2144
1115.6	-656.88	2172
1117.63	-678.98	2106
1081.33	-687.16	2232
1057.91	-688.15	2152
1078.92	-607.96	2195.45
1123.45	-686.41	2104
1082	-714	2191.45
1082.43	-750.96	2186
1062.68	-630.33	2164
1081.33	-719.49	2184.3
1100	-698	2173.45
1032.27	-698.71	2150.3
1070.36	-640.65	2190
1082.82	-750.25	2146
1131.73	-618.41	2242
1068.77	-781.39	2172
1121.16	-619.14	2136
1093.66	-592.54	2112
1066.76	-752.74	2192
1088.73	-777.75	2154
1016.25	-715.58	2216.8
1074	-828	2208.45
1059.68	-782.43	2122
1104	-572	2150.45
1118	-674	2159.45
1097.66	-541.84	2169.45
1095.14	-849.83	2199.45
1067.29	-592.01	2142
1078.22	-800.75	2184
